StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/04/30 02:00:07.476914,0.051504,tcp,85.119.151.250,40806,   ->,159.65.26.180,8080,SR_RA,0,0,3,166,112,2
2021/04/30 02:00:08.075301,0.051883,tcp,85.119.151.250,40806,   ->,159.65.26.180,3528,SR_RA,0,0,3,166,112,2
2021/04/30 02:00:08.346601,0.056392,tcp,85.119.151.250,40806,   ->,159.65.26.180,3128,SR_RA,0,0,3,166,112,2
2021/04/30 02:00:12.774203,0.000029,icmp,23.92.31.220,0x0008,  <->,159.65.26.180,0x1912,ECO,0,0,2,104,56,1
2021/04/30 02:00:20.422906,0.061824,tcp,45.143.200.34,55710,   ->,159.65.26.180,8333,SR_RA,0,0,3,166,112,2
2021/04/30 02:00:21.719209,0.045393,tcp,45.143.200.34,55710,   ->,159.65.26.180,7662,SR_RA,0,0,3,166,112,2
2021/04/30 02:00:27.956544,0.044184,tcp,45.143.200.34,55710,   ->,159.65.26.180,11349,SR_RA,0,0,3,166,112,2
2021/04/30 02:00:40.861582,0.369270,tcp,150.158.155.125,40431,   ->,159.65.26.180,2375,SR_RA,96,96,3,166,112,2
2021/04/30 02:00:58.599276,0.000033,tcp,162.142.125.66,25710,   ->,159.65.26.180,9081,S_RA,0,0,2,112,58,1
2021/04/30 02:01:02.178961,0.582726,tcp,176.44.49.5,65298,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:01:10.071771,0.052084,tcp,45.146.165.75,58766,   ->,159.65.26.180,3689,SR_RA,0,0,3,166,112,2
2021/04/30 02:01:51.150190,0.042672,tcp,5.188.206.18,46983,   ->,159.65.26.180,47587,SR_RA,0,0,3,166,112,2
2021/04/30 02:02:01.461750,0.041496,tcp,5.188.206.18,46983,   ->,159.65.26.180,40693,SR_RA,0,0,3,166,112,2
2021/04/30 02:02:04.420811,0.000031,tcp,45.146.165.75,58766,   ->,159.65.26.180,5444,S_RA,0,0,2,110,56,1
